id,diedAt,country
HA0606,578,MACROREG-RUM
HA0607,586,MACROREG-IRAQ
HA0608,599,MACROREG-EGYPT
HA0609,594,MACROREG-MAGHRIB
HA0610,589,MACROREG-IRAN
HA0610,589,MACROREG-IRAQ
HA0611,590,MACROREG-SARABIA
HA0612,592,MACROREG-ANDALUS
HA0613,593,MACROREG-IRAN
HA0614,596,MACROREG-IRAQ
HA0616,601,MACROREG-ANDALUS
HA0618,601,MACROREG-MAWARANNAHR
HA0619,601,MACROREG-ANDALUS
HA0620,603,MACROREG-SYRIA
HA0621,603,MACROREG-ANDALUS
HA0622,609,MACROREG-ANDALUS
HA0623,616,MACROREG-MAWARANNAHR
HA0623,616,MACROREG-SYRIA
HA0624,618,MACROREG-IRAQ
HA0625,619,MACROREG-ANDALUS
HA0628,625,MACROREG-ANDALUS
HA0631,622,MACROREG-IRAQ
HA0632,625,MACROREG-IRAN
HA0633,627,MACROREG-ANDALUS
HA0633,627,MACROREG-EGYPT
HA0633,627,MACROREG-MAGHRIB
HA0634,634,MACROREG-IRAQ
HA0635,628,MACROREG-ANDALUS
HA0636,630,MACROREG-SARABIA
HA0637,630,MACROREG-SARABIA
HA0638,631,MACROREG-IRAN
HA0639,631,MACROREG-IRAQ
HA0641,636,MACROREG-ARABIA
HA0641,636,MACROREG-EGYPT
HA0642,637,MACROREG-SYRIA
HA0643,638,MACROREG-EGYPT
HA0643,638,MACROREG-IRAQ
HA0644,637,MACROREG-ANDALUS
HA0645,638,MACROREG-MAGHRIB
HA0646,638,MACROREG-SYRIA
HA0647,541,MACROREG-ANDALUS
HA0648,641,MACROREG-ANDALUS
HA0651,642,MACROREG-ANDALUS
HA0653,643,MACROREG-SYRIA
HA0654,644,MACROREG-SYRIA
HA0655,651,MACROREG-ANDALUS
HA0656,630,MACROREG-MAWARANNAHR
HA0657,652,MACROREG-SYRIA
HA0658,653,MACROREG-IRAQ
HA0659,637,MACROREG-IRAQ
HA0660,656,MACROREG-ANDALUS
HA0660,656,MACROREG-EGYPT
HA0661,656,MACROREG-SARABIA
HA0662,657,MACROREG-EGYPT
HA0663,662,MACROREG-SYRIA
HA0664,665,MACROREG-ANDALUS
HA0666,657,MACROREG-MAWARANNAHR
HA0667,658,MACROREG-ANDALUS
HA0668,668,MACROREG-SYRIA
HA0669,662,MACROREG-EGYPT
HA0669,662,MACROREG-SYRIA
HA0671,670,MACROREG-IRAQ
HA0672,668,MACROREG-SYRIA
HA0673,673,MACROREG-ANDALUS
HA0674,675,MACROREG-SYRIA
HA0675,672,MACROREG-EGYPT
HA0676,673,MACROREG-IRAQ
HA0678,675,MACROREG-SARABIA
HA0679,674,MACROREG-IRAN
HA0680,677,MACROREG-MAWARANNAHR
HA0681,677,MACROREG-EGYPT
HA0682,680,MACROREG-IRAQ
HA0683,680,MACROREG-SARABIA
HA0684,681,MACROREG-IRAQ
HA0687,687,MACROREG-ANDALUS
HA0687,687,MACROREG-EGYPT
HA0689,689,MACROREG-SYRIA
HA0690,690,MACROREG-SYRIA
HA0691,689,MACROREG-SARABIA
HA0693,694,MACROREG-IRAQ
HA0693,694,MACROREG-SYRIA
HA0694,694,MACROREG-IRAQ
HA0695,694,MACROREG-SYRIA
HA0696,694,MACROREG-ARABIA
HA0696,694,MACROREG-IRAN
HA0697,696,MACROREG-IRAQ
HA0697,696,MACROREG-SYRIA
HA0698,696,MACROREG-SYRIA
HA0699,699,MACROREG-ANDALUS
HA0700,695,MACROREG-EGYPT
HA0700,695,MACROREG-IRAQ
HA0701,695,MACROREG-EGYPT
HA0702,697,MACROREG-SYRIA
HA0703,699,MACROREG-ANDALUS
HA0703,699,MACROREG-SYRIA
HA0704,699,MACROREG-EGYPT
HA0705,700,MACROREG-ARABIA
HA0705,700,MACROREG-MAWARANNAHR
HA0706,800,MACROREG-RUM
HA0708,701,MACROREG-EGYPT
HA0709,702,MACROREG-ANDALUS
HA0710,708,MACROREG-ANDALUS
HA0711,709,MACROREG-EGYPT
HA0712,710,MACROREG-EGYPT
HA0713,711,MACROREG-IRAQ
HA0713,711,MACROREG-SYRIA
HA0714,710,MACROREG-EGYPT
HA0714,710,MACROREG-IRAQ
HA0715,710,MACROREG-EGYPT
HA0716,712,MACROREG-RUM
HA0717,717,MACROREG-SARABIA
HA0719,717,MACROREG-RUM
