[31.77768, 35.20345]	[35.20345, 31.77768]	نهر الاردن,Sham	[35.46470426022758, 31.52628780255541]
FUSTAT_312E300N_S	[31.24964, 30.04325]	JUDDA_391E214N_S	[39.1779, 21.46201]
FUSTAT_312E300N_S	[31.24964, 30.04325]	ISKANDARIYYA_299E311N_S	[29.90981, 31.1949]
[31.43739, 31.79125]	[31.79125, 31.43739]	MAHALLAKABIRA_311E309N_S	[31.522215255284674, 31.66853855528832]
FUSTAT_312E300N_S	[31.24964, 30.04325]	ISKANDARIYYA_299E311N_S	[29.90981, 31.1949]
[30.04325, 31.24964]	[31.24964, 30.04325]	DHATSAHIL_310E302N_S	[31.117228337060673, 30.158898469385516]
[30.158898469385516, 31.117228337060673]	[31.117228337060673, 30.158898469385516]	TARNUT_308E304N_S	[30.984660925766956, 30.274546629579806]
[30.274546629579806, 30.984660925766956]	[30.984660925766956, 30.274546629579806]	KUMSHARIK_307E306N_S	[30.851936858342786, 30.39019447985422]
[30.39019447985422, 30.851936858342786]	[30.851936858342786, 30.39019447985422]	RAFIQA_307E306N_S	[30.71905522251821, 30.50584201947497]
FUSTAT_312E300N_S	[31.24964, 30.04325]	FARAMA_325E310N_S	[32.59811, 31.02282]
FUSTAT_312E300N_S	[31.24964, 30.04325]	TAIF_404E212N_S	[40.40566, 21.21629]
FUSTAT_312E300N_S	[31.24964, 30.04325]	TAIF_404E212N_S	[40.40566, 21.21629]
FUSTAT_312E300N_S	[31.24964, 30.04325]	TAIF_404E212N_S	[40.40566, 21.21629]
FUSTAT_312E300N_S	[31.24964, 30.04325]	TAIF_404E212N_S	[40.40566, 21.21629]
FUSTAT_312E300N_S	[31.24964, 30.04325]	TAIF_404E212N_S	[40.40566, 21.21629]
FUSTAT_312E300N_S	[31.24964, 30.04325]	TAIF_404E212N_S	[40.40566, 21.21629]
FUSTAT_312E300N_S	[31.24964, 30.04325]	TAIF_404E212N_S	[40.40566, 21.21629]
FUSTAT_312E300N_S	[31.24964, 30.04325]	TAIF_404E212N_S	[40.40566, 21.21629]
