node_without_coord,nearest_coords
رخشميثن,"[['KHIWAH_603E413N_S', 1], ['DASKAKHANKHAS_599E418N_S', 1]]"
منخوس,"[['RUHBA_364E276N_R', 1], ['DIMASHQ_363E335N_S', 2]]"
راس العقبة,"[['TUZ_422E267N_S', 1], ['DARIZ_515E296N_S', 1]]"
رستاق الرستاق,"[['KAHUN_553E288N_S', 1], ['DARABAJIRD_545E287N_S', 2]]"
نيماراه,"[['KHASHT_639E343N_S', 1], ['SABUR_515E298N_R', 1]]"
ميغون,"[['BANJAWAY_654E315N_S', 2], ['BUST_643E313N_R', 2]]"
مسجد أويس,"[['ARZAN_416E379N_S', 1], ['MADAN_091W386N_S', 1]]"
امده,"[['HARA_621E343N_R', 1], ['RADHAN_547E301N_S', 2]]"
مضيق النهر,"[['RIBATMASH_614E413N_S', 1], ['NABADGHIN_620E407N_S', 1]]"
برقوى,"[['MALAZKIRD_425E391N_S', 1], ['ARZAN_416E379N_S', 2]]"
كوستان,"[['FARAH_620E323N_S', 2], ['NIH_600E315N_S', 3]]"
الجبل الأسود,"[['HARA_621E343N_R', 2], ['RADHAN_547E301N_S', 3]]"
الحفیر,"[['BASRA_058W348N_S', 1], ['KUFA_443E320N_S', 2]]"
ارمسا,"[['DHATHUMAM_293E308N_S', 1], ['HANIYYARUM_288E308N_S', 2]]"
اسناخ,"[['BAMIYAN_678E348N_R', 2], ['KARDIZ_691E336N_S', 3]]"
صداء,"[['SANA_442E153N_S', 1], ['SHIBAM_485E159N_S', 2]]"
أشبورقان,"[['BALKH_668E367N_R', 1], ['FARIYAB_649E364N_S', 1]]"
طاق سعيد,"[['JURAB_489E342N_S', 1], ['HAMADHAN_485E347N_R', 1]]"
قارا,"[['SHAMSIN_367E345N_S', 1], ['NABK_367E340N_S', 2]]"
ولا شتان,"[['KARDIZ_691E336N_S', 3], ['GHAZNA_684E335N_S', 4]]"
غركرد,"[['ISBIJAB_697E422N_R', 1], ['BINKATH_694E412N_S', 1]]"
قرية جرا,"[['AWA_505E346N_S', 1], ['KARAJ_495E338N_S', 2]]"
یثرب,"[['SUWAYDIYYA_359E360N_S', 1], ['BATNNAKHL_400E248N_R', 1]]"
روزوند,"[['NUZWAR_593E420N_S', 1], ['JURJANIYYASUGHRA_593E422N_S', 2]]"
قرنة,"[['BABHADID_670E382N_O', 1], ['KANDAK_667E383N_S', 2]]"
سمیراء,"[['TUZ_422E267N_S', 1], ['HAJIR_417E259N_S', 1]]"
رباط شار,"[['RIBATSHUR_635E350N_S', 1], ['SHURMIN_635E347N_S', 2]]"
برزيان,"[['RAYY_515E356N_S', 1], ['QUSTANA_510E354N_S', 2]]"
آلوسة,"[['FUHAYMA_421E342N_S', 1], ['ANA_419E344N_S', 1]]"
قلرى,"[['MANSURA_688E258N_S', 1], ['DAYBUL_676E244N_S', 2]]"
