name,lat,lng,status
جرجير,32.19454,30.91373,old
جسر جهنم,50.23675,31.4767,old
اليهودية,64.83857,35.9347,old
تارم,55.80841,28.18163,old
فم العضدى,48.14211,30.41602,old
دزاوند,null,null,null
كردرانخاس,60.68254,41.38937,old
زبالة,43.5639,29.40521,old
سيسر,46.98439,35.31623,old
الدولاب,null,null,null
موضع بغراخاقان,null,null,null
بئر السلاح,null,null,null
الاسحاقية,null,null,null
سرمسه,null,null,null
بيت جبريل,34.88059,31.60564,old
خان روشن,52.02871,31.25559,old
جب العوسج,27.30318,31.04479,old
جسر حر,null,null,null
الدز,50.29984,31.71801,old
سمورة,-5.76776,41.44051,old
مالن كواخرز,null,null,null
بارما,43.57361,35.07982,old
