URI	TOP	TRANSLIT	TYPE	LAT	LON	REG_MESO	MESO_LAT	MESO_LON	MESO_COLOR	MACRO	MACRO_LAT	MACRO_LON	MACRO_COLOR
seville	seville	seville	TYPE	LAT	LON	Spain	40.463667	-3.74922	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
moscow	moscow	moscow	TYPE	LAT	LON	Russia	61.52401	105.318756	Black	Eastern Europe	49.7270375	31.708062599999998	Black
meccan	meccan	meccan	TYPE	LAT	LON	Saudi Arabia	23.885942	45.079162	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
k̲h̲wārazm	k̲h̲wārazm	k̲h̲wārazm	TYPE	LAT	LON	Uzbekistan	41.377491	64.585262	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
jordan	jordan	jordan	TYPE	LAT	LON	Syria	34.802075	38.996815	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
afg̲h̲ān	afg̲h̲ān	afg̲h̲ān	TYPE	LAT	LON	Afghanistan	33.93911	67.709953	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
kābul	kābul	kābul	TYPE	LAT	LON	Afghanistan	33.93911	67.709953	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
bombay	bombay	bombay	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
muslim spain	muslim spain	muslim spain	TYPE	LAT	LON	Spain	40.463667	-3.74922	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
britain	britain	britain	TYPE	LAT	LON	United Kingdom	55.378051	-3.435973	Black	Northern Europe	59.73217858333334	4.6369705833333335	Black
italy	italy	italy	TYPE	LAT	LON	Italy	41.87194	12.56738	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
sicily	sicily	sicily	TYPE	LAT	LON	Italy	41.87194	12.56738	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
mag̲h̲ribī	mag̲h̲ribī	mag̲h̲ribī	TYPE	LAT	LON	Morocco	31.791702	-7.09262	Black	North Africa	26.278070285714282	9.92387657142857	Black
nad̲j̲d	nad̲j̲d	nad̲j̲d	TYPE	LAT	LON	Saudi Arabia	23.885942	45.079162	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
venetian	venetian	venetian	TYPE	LAT	LON	Italy	41.87194	12.56738	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
hungary	hungary	hungary	TYPE	LAT	LON	Hungary	47.162494	19.503304	Black	Eastern Europe	49.7270375	31.708062599999998	Black
dutch	dutch	dutch	TYPE	LAT	LON	Netherlands	52.132633	5.291266	Black	Western Europe	48.3439821111111	7.589095333333335	Black
england	england	england	TYPE	LAT	LON	United Kingdom	55.378051	-3.435973	Black	Northern Europe	59.73217858333334	4.6369705833333335	Black
fez	fez	fez	TYPE	LAT	LON	Morocco	31.791702	-7.09262	Black	North Africa	26.278070285714282	9.92387657142857	Black
ḥimṣ	ḥimṣ	ḥimṣ	TYPE	LAT	LON	Syria	34.802075	38.996815	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
crimea	crimea	crimea	TYPE	LAT	LON	Russia	61.52401	105.318756	Black	Eastern Europe	49.7270375	31.708062599999998	Black
soviet	soviet	soviet	TYPE	LAT	LON	Russia	61.52401	105.318756	Black	Eastern Europe	49.7270375	31.708062599999998	Black
delhi	delhi	delhi	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
ṣanʿāʾ	ṣanʿāʾ	ṣanʿāʾ	TYPE	LAT	LON	Yemen	15.552727	48.516388	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
rūm	rūm	rūm	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
badr	badr	badr	TYPE	LAT	LON	Saudi Arabia	23.885942	45.079162	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
ḥaḍramawt	ḥaḍramawt	ḥaḍramawt	TYPE	LAT	LON	Yemen	15.552727	48.516388	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
konya	konya	konya	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
greece	greece	greece	TYPE	LAT	LON	Greece	39.074208	21.824312	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
yaman	yaman	yaman	TYPE	LAT	LON	Yemen	15.552727	48.516388	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
sīstān	sīstān	sīstān	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
ḳazwīn	ḳazwīn	ḳazwīn	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
saudi arabia	saudi arabia	saudi arabia	TYPE	LAT	LON	Saudi Arabia	23.885942	45.079162	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
ṭabaristān	ṭabaristān	ṭabaristān	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
antioch	antioch	antioch	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
rabat	rabat	rabat	TYPE	LAT	LON	Morocco	31.791702	-7.09262	Black	North Africa	26.278070285714282	9.92387657142857	Black
cyprus	cyprus	cyprus	TYPE	LAT	LON	Cyprus	35.126413	33.429859	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
oxus	oxus	oxus	TYPE	LAT	LON	Uzbekistan	41.377491	64.585262	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
libya	libya	libya	TYPE	LAT	LON	Libya	26.3351	17.228331	Black	North Africa	26.278070285714282	9.92387657142857	Black
ḳayrawān	ḳayrawān	ḳayrawān	TYPE	LAT	LON	Morocco	31.791702	-7.09262	Black	North Africa	26.278070285714282	9.92387657142857	Black
marrākus̲h̲	marrākus̲h̲	marrākus̲h̲	TYPE	LAT	LON	Morocco	31.791702	-7.09262	Black	North Africa	26.278070285714282	9.92387657142857	Black
g̲h̲azna	g̲h̲azna	g̲h̲azna	TYPE	LAT	LON	Afghanistan	33.93911	67.709953	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
israel	israel	israel	TYPE	LAT	LON	Syria	34.802075	38.996815	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
aden	aden	aden	TYPE	LAT	LON	Yemen	15.552727	48.516388	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
upper egypt	upper egypt	upper egypt	TYPE	LAT	LON	Egypt	26.820553	30.802498	Black	North Africa	26.278070285714282	9.92387657142857	Black
georgia	georgia	georgia	TYPE	LAT	LON	Georgia	42.315407	43.356892	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
wāsiṭ	wāsiṭ	wāsiṭ	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
tunisian	tunisian	tunisian	TYPE	LAT	LON	Tunisia	33.886917	9.537499	Black	North Africa	26.278070285714282	9.92387657142857	Black
algerian	algerian	algerian	TYPE	LAT	LON	Algeria	28.033886	1.659626	Black	North Africa	26.278070285714282	9.92387657142857	Black
madrid	madrid	madrid	TYPE	LAT	LON	Spain	40.463667	-3.74922	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
al-azhar	al-azhar	al-azhar	TYPE	LAT	LON	Egypt	26.820553	30.802498	Black	North Africa	26.278070285714282	9.92387657142857	Black
lucknow	lucknow	lucknow	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
bosnia	bosnia	bosnia	TYPE	LAT	LON	Bosnia	43.915886	17.679076	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
princeton	princeton	princeton	TYPE	LAT	LON	USA	37.09024	-95.712891	Black	North America	38.95170233333334	-101.53748200000001	Black
d̲j̲azīra	d̲j̲azīra	d̲j̲azīra	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
nad̲j̲af	nad̲j̲af	nad̲j̲af	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
gīlān	gīlān	gīlān	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
kas̲h̲mīr	kas̲h̲mīr	kas̲h̲mīr	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
izmir	izmir	izmir	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
māzandarān	māzandarān	māzandarān	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
hamadān	hamadān	hamadān	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
romans	romans	romans	TYPE	LAT	LON	Italy	41.87194	12.56738	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
fusṭāṭ	fusṭāṭ	fusṭāṭ	TYPE	LAT	LON	Egypt	26.820553	30.802498	Black	North Africa	26.278070285714282	9.92387657142857	Black
american	american	american	TYPE	LAT	LON	USA	37.09024	-95.712891	Black	North America	38.95170233333334	-101.53748200000001	Black
k̲h̲ūzistān	k̲h̲ūzistān	k̲h̲ūzistān	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
crete	crete	crete	TYPE	LAT	LON	Greece	39.074208	21.824312	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
sāmarrā	sāmarrā	sāmarrā	TYPE	LAT	LON	Iraq	33.223191	43.679291	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
albania	albania	albania	TYPE	LAT	LON	Albania	41.153332	20.168331	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
yazd	yazd	yazd	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
java	java	java	TYPE	LAT	LON	Indonesia	-0.789275	113.921327	Black	South-East Asia	8.085290625	108.80991474999999	Black
multān	multān	multān	TYPE	LAT	LON	Pakistan	30.375321	69.345116	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
indus	indus	indus	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
